timestamp,subzone,total_stay
2018-02-25T09:45:00.000+08:00,PRSZ01,2641
2018-02-25T09:45:00.000+08:00,PRSZ02,10014
2018-02-25T09:45:00.000+08:00,RVSZ02,792
2018-02-25T09:45:00.000+08:00,PLSZ02,2534
2018-02-25T09:45:00.000+08:00,PLSZ01,2819
2018-02-25T09:45:00.000+08:00,PLSZ03,2072
2018-02-25T09:45:00.000+08:00,OTSZ01,6849
2018-02-25T09:45:00.000+08:00,TPSZ06,4768
2018-02-25T09:45:00.000+08:00,CKSZ04,7989
2018-02-25T09:45:00.000+08:00,JESZ10,3488
2018-02-25T09:45:00.000+08:00,OTSZ02,2623
2018-02-25T09:45:00.000+08:00,DTSZ04,636
2018-02-25T09:45:00.000+08:00,PNSZ05,3943
2018-02-25T09:45:00.000+08:00,PLSZ05,1536
2018-02-25T09:45:00.000+08:00,QTSZ15,7968
2018-02-25T09:45:00.000+08:00,TPSZ09,5453
2018-02-25T09:45:00.000+08:00,SLSZ03,3733
2018-02-25T09:45:00.000+08:00,SMSZ04,40
2018-02-25T09:45:00.000+08:00,PGSZ06,40
2018-02-25T09:45:00.000+08:00,PGSZ04,12555
2018-02-25T09:45:00.000+08:00,PGSZ02,6021
2018-02-25T09:45:00.000+08:00,QTSZ07,1115
2018-02-25T09:45:00.000+08:00,DTSZ05,2655
2018-02-25T09:45:00.000+08:00,BMSZ03,4335
2018-02-25T09:45:00.000+08:00,SKSZ05,2464
2018-02-25T09:45:00.000+08:00,TNSZ03,6144
2018-02-25T09:45:00.000+08:00,SESZ02,14799
2018-02-25T09:45:00.000+08:00,SRSZ01,7526
2018-02-25T09:45:00.000+08:00,RCSZ04,1651
2018-02-25T09:45:00.000+08:00,JWSZ07,602
2018-02-25T09:45:00.000+08:00,BLSZ03,2246
2018-02-25T09:45:00.000+08:00,BPSZ02,7540
2018-02-25T09:45:00.000+08:00,RCSZ08,2849
2018-02-25T09:45:00.000+08:00,SLSZ04,2286
2018-02-25T09:45:00.000+08:00,SLSZ01,2558
2018-02-25T09:45:00.000+08:00,SGSZ01,5385
2018-02-25T09:45:00.000+08:00,WISZ02,161
2018-02-25T09:45:00.000+08:00,SBSZ03,9545
2018-02-25T09:45:00.000+08:00,SBSZ01,5090
2018-02-25T09:45:00.000+08:00,AMSZ07,2800
2018-02-25T09:45:00.000+08:00,SBSZ04,9650
2018-02-25T09:45:00.000+08:00,SBSZ02,3696
2018-02-25T09:45:00.000+08:00,SBSZ06,2222
2018-02-25T09:45:00.000+08:00,SESZ03,19391
2018-02-25T09:45:00.000+08:00,SESZ07,40
2018-02-25T09:45:00.000+08:00,BPSZ01,4433
2018-02-25T09:45:00.000+08:00,TPSZ11,1933
